Item ID,Query Type,Difficulty,Legal Domain,Question,Reference Answer,Constitutional Articles,Supporting Passage(s),Annotated By,Annotation Date,--- EXPERT REVIEW ---,Correctness (1=Poor  5=Excellent),Completeness (1=Poor  5=Excellent),Clarity (1=Poor  5=Excellent),Expert Comments,Reviewer Name,Review Date
QAC_051,Factual,Medium,Constitutional,What courts constitute the judicial system of Sri Lanka under the Constitution?,"Article 105 of the Constitution establishes the judicial system comprising: the Supreme Court of the Republic of Sri Lanka, the Court of Appeal, the High Court, and such other courts as Parliament may provide. The Supreme Court is the highest and final court.",Article 105,"Art. 105: (1) Subject to the provisions of the E s t a b lishment of Courts, & c. Constitution, the institutions for the administration of justice which protect, vindicate and enforce the rights of the People s",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_052,Factual,Medium,Constitutional,What is the jurisdiction of the Supreme Court of Sri Lanka?,Article 118 of the Constitution confers on the Supreme Court jurisdiction in respect of: constitutional matters; protection of fundamental rights; final appellate jurisdiction; consultative jurisdiction; jurisdiction in election petitions; jurisdiction in respect of breaches of Parliamentary privileges; and such other jurisdiction as Parliament may provide.,Article 118,Art. 118: The Supreme Court of the Republic of Sri jurisdiction of Supreme Lanka shall be the highest and final superior Court of Court record in the Republic and shall subject to the provisions of the Constitu,LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_053,Factual,Medium,Constitutional,Who has exclusive jurisdiction to interpret the Constitution?,Article 125 of the Constitution confers on the Supreme Court sole and exclusive jurisdiction to hear and determine any question relating to the interpretation of the Constitution. Any such question arising in the course of proceedings in any other court or tribunal shall be referred to the Supreme Court for determination.,Article 125,Art. 125: (1) The Supreme Court shall have sole and Constitutional exclusive jurisdiction to hear and determine any question jurisdiction in the relating to the interpretation of the Constitution and interpreta,LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_054,Procedural,Hard,Constitutional,What is the process for enforcing fundamental rights in the Supreme Court?,Article 126 of the Constitution provides that every person shall have the right to apply directly to the Supreme Court for relief or redress in respect of the infringement or imminent infringement of a fundamental right guaranteed by Chapter III. The Supreme Court shall have the power to grant such relief or make such directions as it deems appropriate.,Article 126,Art. 126: (1) The Supreme Court shall have sole and rights exclusive jurisdiction to hear and determine any question jurisdiction and its relating to the infringement or imminent infringement by exercise execut,LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_055,Factual,Medium,Constitutional,What is the appellate jurisdiction of the Court of Appeal?,"Article 138 of the Constitution confers on the Court of Appeal appellate jurisdiction for the correction of errors in fact or law committed by all courts of first instance. The Court of Appeal may affirm, reverse or vary any judgment, decree, order or sentence of the court from which the appeal is taken.",Article 138,"Art. 138: Jurisdiction 138. (1) The Court of Appeal shall have and of the Court exercise subject to the provisions of the Constitution or of Appeal of any law, an appellate jurisdiction for the correction of al",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_056,Factual,Medium,Constitutional,What is the Consolidated Fund and how are withdrawals controlled?,"Article 148 of the Constitution establishes Parliament's control over public finance: all revenues, grants and other moneys shall form the Consolidated Fund. Article 150 provides that no sum shall be withdrawn from the Consolidated Fund except under the authority of a warrant signed by the Minister of Finance, and only where Parliament has appropriated the sum for specified public services.",Article 148,"Art. 148: Parliament shall have full control over public Control of finance. No tax, rate or any other levy shall be imposed by Parliament over public any local authority or any other public authority, except f",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_057,Factual,Medium,Constitutional,What is the Appropriation Bill and when must it be presented to Parliament?,"Under Article 152 of the Constitution, no Bill or motion authorizing the disposal of funds from the Consolidated Fund or the imposition, repeal, or reduction of any tax may be introduced in Parliament except by a Minister, and only if the Bill has been approved by the Cabinet of Ministers. The Appropriation Bill, which authorizes annual government expenditure, must accordingly be presented by the Minister in charge of Finance. Parliament must approve the Appropriation Bill before funds can be drawn from the Consolidated Fund under Articles 149 and 150.",Article 152,"Art. 152: No Bill or motion, authorizing the disposal of, or provisions the imposition of charges upon, the Consolidated Fund or a",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_058,Factual,Medium,Constitutional,What is the role of the Auditor General under the Constitution?,"Article 154 of the Constitution requires the Auditor-General to audit the accounts of all departments of Government, the Office of the Secretary to the President, the Office of the Secretary to the Prime Minister, and all public corporations and local authorities. The Auditor-General is required to report to Parliament on the accounts audited.",Article 154,"Art. 153H: 154. [(1) The Auditor-General shall audit all Duties and departments of the Government, the Office of the Secretary to t",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_059,Procedural,Hard,Constitutional,Under what circumstances may a state of emergency be declared?,Article 155 of the Constitution provides that the President may by Proclamation declare a state of emergency when the President is of opinion that a public emergency exists. Emergency regulations made thereunder must be laid before Parliament and cease to be in force after 30 days unless Parliament approves them by resolution.,Article 155,Art. 155: (1) The Public Security Ordinance as amended Public Security and in force immediately prior to the commencement of the Constitution shall be deemed to be a law enacted by Parliament. (2) The power to,LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_060,Factual,Hard,Constitutional,What is the Finance Commission and what is its role?,"Article 154R of the Constitution establishes the Finance Commission, which is responsible for making recommendations to the President regarding the allocation of funds from the Annual Budget to meet the needs of the Provinces and ensuring equitable distribution of financial resources among the Provinces.",Article 154R,Art. 154R: (1) There shall be a Finance Commission Commission consisting of  (a) the Governor of the Central Bank of Sri Lanka; The Constitution of the Democratic Socialist Republic of Sri Lanka 177 (b) the Secr,LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_061,Factual,Medium,Constitutional,What are the qualifications to be registered as an elector?,"Article 88 provides that every person, unless disqualified as provided, shall be qualified to be an elector at the election of the President and Members of Parliament and to vote at any Referendum, provided that their name is entered in the appropriate register of electors. Article 89(b) further provides that no person shall be qualified to be an elector if they have not attained the age of eighteen years on the qualifying date specified by law. Article 88 thus sets the general entitlement and Article 89 sets the disqualifications, including the minimum voting age.","Article 88, Article 89","Art. 88: Every person shall, unless disqualified as elector hereinafter provided, be qualified to be an elector at the election of the President and of the Members of Parliament or to vote at any Referendum: P || Art. 89: No person shall be qualified to be an elector to be an elector at an election of the President, or of the Members of Parliament or to vote at any Referendum, if he is subject to any of the following d",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_062,Factual,Medium,Constitutional,What disqualifies a person from being elected as a Member of Parliament?,"Article 91 of the Constitution lists the disqualifications for membership of Parliament, including: being a citizen of another country, being an undischarged bankrupt, having been sentenced to imprisonment for two years or more, holding a disqualifying office of profit, and such other grounds as Parliament may provide.",Article 91,Art. 91: (1) No person shall be qualified to be elected as a for election as Member of Parliament or to sit and vote in Parliament  a Member of Parliament (a) if he is or becomes subject to any of the disquali,LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_063,Interpretive,Hard,Constitutional,What does 'sovereignty of the People' mean under the Constitution and how is it exercised?,Article 3 declares that sovereignty is inalienable and is in the People. Article 4 provides that sovereignty is exercised and enjoyed as follows: (a) legislative power of the People by Parliament; (b) executive power by the President; (c) judicial power by Parliament through courts; and (d) the franchise directly by the People at elections and referenda.,Article 4,"Art. 4: The Sovereignty of the People shall be exercised Exercise of Sovereignty and enjoyed in the following manner: (a) the legislative power of the People shall be exercised by Parliament, consisting of el",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_064,Factual,Medium,Constitutional,What does the Constitution say about the duties of citizens?,Article 28 of the Constitution provides that the exercise and enjoyment of rights and freedoms is inseparable from the performance of duties and obligations. Every person has duties to: uphold and defend the Constitution; further the national interest; work conscientiously in their occupation; respect the rights and freedoms of others; and protect nature and conserve its riches.,Article 28,Art. 28: The exercise and enjoyment of rights and Fundamental freedoms are inseparable from the performance of duties duties and obligations and accordingly it is the duty of every person in Sri Lanka  (a) to,LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_065,Interpretive,Hard,Constitutional,What are the directive principles of state policy in the Constitution?,Article 27 of the Constitution sets out the Directive Principles of State Policy. These are not legally enforceable rights but are principles guiding legislation. They include: establishing a democratic socialist society; ensuring the right to work; equal rights for women; protection of the family; free education; and adequate standard of living.,Article 27,"Art. 27: (1) The Directive Principles of State Policy Directive Principles herein contained shall guide Parliament, the President of State and the Cabinet of Ministers in the enactment of laws and Policy the g",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_066,Interpretive,Hard,Constitutional,What restrictions can be placed on fundamental rights under the Constitution?,"Article 15 of the Constitution permits restrictions on the exercise of fundamental rights. The rights guaranteed by Articles 13 and 14 may be restricted by law in the interests of: national security, public order, the protection of public health or morality, or for the purpose of securing due recognition of the rights and freedoms of others.",Article 15,Art. 15: (1) The exercise and operation of the fundamental fundamental rights declared and recognized by Articles rights 13(5) and 13(6) shall be subject only to such restrictions as may be prescribed by law i,LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_067,Interpretive,Hard,Constitutional,Can Parliament delegate its legislative power to another body?,"Article 76(1) of the Constitution provides that Parliament shall not abdicate or in any manner alienate its legislative power, and shall not set up any authority with any legislative power. However, Parliament may delegate to subordinate bodies the power to make regulations, rules, by-laws and other subordinate legislation in accordance with law.",Article 76,Art. 76: (1) Parliament shall not abdicate or in any legislative manner alienate its legislative power and shall not set up power any authority with any legislative power. (2) It shall not be a contravention o,LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_068,Factual,Easy,Constitutional,What freedom of movement rights does the Constitution guarantee?,"Article 14(1)(h) and (i) of the Constitution guarantee that every citizen is entitled to the freedom of movement and of choosing his residence within Sri Lanka, and the freedom to return to Sri Lanka.",Article 14,"Art. 14: (1) Every citizen is entitled to  speech, assembly, (a) the freedom of speech and expression association, including publication; occupation, movement, & c. (b) the freedom of peaceful assembly; (c) th",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_069,Factual,Easy,Constitutional,Does the Constitution guarantee the right to engage in any occupation?,"Article 14(1)(g) of the Constitution guarantees every citizen the freedom to engage in any lawful occupation, profession, trade, business or enterprise.",Article 14,"Art. 14: (1) Every citizen is entitled to  speech, assembly, (a) the freedom of speech and expression association, including publication; occupation, movement, & c. (b) the freedom of peaceful assembly; (c) th",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_070,Factual,Medium,Constitutional,What constitutional provisions govern taxation?,Article 148 of the Constitution provides that no taxation shall be imposed by any authority other than Parliament. All taxes and revenues shall be paid into the Consolidated Fund and no expenditure shall be incurred except under the authority of Parliament.,Article 148,"Art. 148: Parliament shall have full control over public Control of finance. No tax, rate or any other levy shall be imposed by Parliament over public any local authority or any other public authority, except f",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_071,Factual,Medium,Constitutional,What is the constitutional basis for the Attorney General's role?,"Article 61E provides that the President shall appoint the Attorney-General on the approval of the Constitutional Council. Article 134(1) provides that the Attorney-General shall be noticed and shall have the right to be heard in all proceedings in the Supreme Court in the exercise of its jurisdiction under Articles 120, 121, 122, 125, 126, and 129(1). These provisions establish the constitutional basis for the appointment of the Attorney-General and the right of audience before the Supreme Court.","Article 61E, Article 134","Art. 61E: The President shall appoint - by the President (a) the Heads of the Army, the Navy and the Air Force; and (b) 46[on the approval at the Constitutional Council,] the Attorney-General and the Inspector- || Art. 134: (1) The Attorney-General shall be noticed and Right to be have the right to be heard in all proceedings in the heard by the Supreme Supreme Court in the exercise of its jurisdiction under Court Articl",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_072,Factual,Hard,Constitutional,What is the Constitutional Council and what is its function?,"Article 41A of the Constitution establishes the Constitutional Council, which is responsible for making recommendations to the President on appointments to independent commissions and certain key constitutional offices. Its purpose is to ensure the independence of key institutions including the Elections Commission, Public Service Commission, and National Police Commission.",Article 41A,Art. 41A: (1) There shall be a Constitutional Council C onstitution of the (in this Chapter referred to as the Council) which shall Constitutional consist of the following members: Council (a) the Prime Ministe,LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_073,Factual,Easy,Constitutional,What does the Constitution say about the freedom of speech and expression?,"Article 14(1)(a) of the Constitution guarantees every citizen the freedom of speech and expression including publication. This right is subject to the restrictions prescribed by Article 15 in the interests of national security, public order, and protection of public health or morality.",Article 14,"Art. 14: (1) Every citizen is entitled to  speech, assembly, (a) the freedom of speech and expression association, including publication; occupation, movement, & c. (b) the freedom of peaceful assembly; (c) th",LEGAL_EXPERT_1 (Human-Annotated),2026-05-04,,,,,,,
QAC_074,Factual,Easy,Constitutional,What territory comprises the Republic of Sri Lanka under the Constitution?,"Article 5 of the Constitution provides that the territory of the Republic of Sri Lanka consists of the twenty-five administrative districts, the names of which are set out in the First Schedule, together with its territorial waters. The administrative districts may be subdivided or amalgamated.",Article 5,"Art. 5: The territory of the Republic of Sri Lanka shall Territory of the Republic consist of the 1[twenty-five] administrative districts, the names of which are set out in the First Schedule and its 2[territ",LEGAL_EXPERT_1 (Human-Annotated),2026-05-16,,,,,,,
QAC_075,Factual,Medium,Constitutional,What is the right of access to information under the Constitution?,"Article 14A grants every citizen the right of access to any information as provided for by law, being information required for the exercise or protection of a citizen's right held by the State, a Ministry, any Government Department, or any statutory body established by law.",Article 14A,"Art. 14A: (1) Every citizen shall have the right of Right of access to access to any information as provided for by law, being information information that is required for the exercise or protection of a citize",LEGAL_EXPERT_1 (Human-Annotated),2026-05-16,,,,,,,
